trade_id,timestamp,symbol,side,price,size,confidence,strategy,pnl_usd,pnl_pct,exit_reason,spread_pct,fee_pct
26cec73f-a9ce-4890-a4c0-132ee2c990d1,2026-09-20T00:29:39.516709,ZK/USDT,SELL,0.01095,496.3,0.6499999999999999,mean_reversion,-0.058668863750000355,-0.994575045207963,Coffin Nail (Exchange Stop),0.0,0.00075
6af8306b-6595-481c-a01a-d73901871fd0,2026-09-20T00:29:42.367199,WLFI/USDT,SELL,0.0578,105.9,0.9,mean_reversion,-0.06813076500000036,-1.0273972602739783,Coffin Nail (Exchange Stop),0.0,0.00075
176ad68b-adb4-4960-a06f-a0af0a60fe38,2026-09-20T00:52:26.561772,MET/USDT,SELL,0.2545,21.2,0.9,mean_reversion,-0.0655265500000003,-1.1266511266511319,Coffin Nail (Exchange Stop),0.0,0.00075
53310580-28f7-488e-a72f-9e3ac1e24a2f,2026-09-20T01:12:45.810447,APT/USDC,BUY,0.719,8.57,0.9,mean_reversion,0.0,0.0,,0.0,0.00075
a67a8b22-f6cf-480d-a421-4c85910cac9d,2026-09-20T01:12:46.332398,ZRO/USDT,BUY,1.102,5.41,0.9,mean_reversion,0.0,0.0,,0.0,0.00075
53310580-28f7-488e-a72f-9e3ac1e24a2f,2026-09-20T02:53:17.504727,APT/USDC,SELL,0.7244999999999999,8.57,0.9,mean_reversion,0.042478276249999565,0.7649513212795479,Tier-1 Micro-Gain Fee Buffer Locked,0.0,0.00075
6853e88c-a626-4dc8-a204-da675ef1bf7e,2026-09-20T03:13:07.101920,SSV/USDT,BUY,3.1510000000000002,1.746,0.9,mean_reversion,0.0,0.0,,0.0,0.00075
a67a8b22-f6cf-480d-a421-4c85910cac9d,2026-09-20T03:14:12.205515,ZRO/USDT,SELL,1.117,5.41,0.9,mean_reversion,0.08114405999999948,1.3611615245008983,Profit Target,0.0,0.00075
6853e88c-a626-4dc8-a204-da675ef1bf7e,2026-09-20T04:12:09.461348,SSV/USDT,SELL,3.132,1.746,0.9,mean_reversion,-0.03317937000000022,-0.6029831799428792,Hard Stop Loss,0.0,0.00075
926c1351-bfd0-48b5-917c-223293ead74e,2026-09-20T12:32:40.058204,ACH/USDT,BUY,0.0058000000000000005,1067.0,0.9,mean_reversion,0.0,0.0,,0.0,0.00075
83be0a6e-7165-427f-ba07-b4425e011568,2026-09-20T12:32:40.591163,CHR/USDT,BUY,0.01683,342.0,0.9,mean_reversion,0.0,0.0,,0.0,0.00075
b253ba50-9133-4c75-af2c-dc69f3bf6843,2026-09-20T12:32:41.118137,VTHO/USDT,BUY,0.000687,10180.0,0.9,mean_reversion,0.0,0.0,,0.0,0.00075
4bbf089c-0d4b-4167-afb7-00fda5e13712,2026-09-20T12:32:41.644676,MMT/USDT,BUY,0.15510000000000002,35.5,0.9,mean_reversion,0.0,0.0,,0.0,0.00075
926c1351-bfd0-48b5-917c-223293ead74e,2026-09-20T13:09:16.165322,ACH/USDT,SELL,0.00572,1067.0,0.9,mean_reversion,-0.08993743000000023,-1.3793103448275896,Coffin Nail (Exchange Stop),0.0,0.00075
83be0a6e-7165-427f-ba07-b4425e011568,2026-09-20T13:09:19.252018,CHR/USDT,SELL,0.01666,342.0,0.9,mean_reversion,-0.06241329,-1.0101010101010102,Coffin Nail (Exchange Stop),0.0,0.00075
b253ba50-9133-4c75-af2c-dc69f3bf6843,2026-09-20T13:09:22.094267,VTHO/USDT,SELL,0.00068,10180.0,0.9,mean_reversion,-0.07645179999999951,-1.0189228529839816,Coffin Nail (Exchange Stop),0.0,0.00075
4bbf089c-0d4b-4167-afb7-00fda5e13712,2026-09-20T13:29:50.965076,MMT/USDT,SELL,0.1534,35.5,0.9,mean_reversion,-0.06443427500000025,-1.0960670535138666,Coffin Nail (Exchange Stop),0.0,0.00075
86eaf075-3854-4e9c-b57f-f9c2090edd24,2026-09-20T15:01:22.507532,TIA/USDT,BUY,0.4112,13.31,0.9,mean_reversion,0.0,0.0,,0.0,0.00075
07ad5e8b-90ac-49e2-971f-508ba9ad0e29,2026-09-20T15:01:23.294109,KAITO/USDT,BUY,0.3269,16.8,0.9,mean_reversion,0.0,0.0,,0.0,0.00075
86eaf075-3854-4e9c-b57f-f9c2090edd24,2026-09-20T15:02:09.745592,TIA/USDT,SELL,0.4082,13.31,0.9,mean_reversion,-0.03993540000000004,-0.7295719844357983,Hard Stop Loss,0.0,0.00075
